Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
CASP10	MCH4	ENSG00000003400	Caspase 10	2	201182881-201229406	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB003780, HPA017059	Approved		Approved	Golgi apparatus<br>Vesicles	Renal cancer:6.05e-7 (unfavourable), Liver cancer:8.54e-4 (unfavourable)	Expressed in all	Mixed			spleen: 24.1	Cell line enhanced		HUVEC TERT2: 21.4
CASP14	MGC119078, MGC119079, MICE	ENSG00000105141	Caspase 14	19	15049384-15058293	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB010059, HPA027062	Enhanced		Approved	Nucleus<br>Mitochondria<br>Cytosol	Pancreatic cancer:5.96e-4 (unfavourable), Lung cancer:7.59e-4 (unfavourable)	Tissue enhanced	Tissue enriched	55	skin: 558.6	breast: 10.1	Cell line enriched	6	hTCEpi: 34.2
CASP8	Casp-8, FLICE, MACH, MCH5	ENSG00000064012	Caspase 8	2	201233443-201287711	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001302, CAB002047, HPA005688, HPA006191	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.27e-6 (unfavourable), Ovarian cancer:1.25e-4 (favourable), Liver cancer:3.02e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 44.8	Expressed in all		
CASQ1	CASQ, PDIB1	ENSG00000143318	Calsequestrin 1	1	160190556-160201886	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA007845, CAB015170, HPA026823	Enhanced		Uncertain	Nucleoplasm<br>Mitochondria	Urothelial cancer:8.93e-5 (favourable)	Mixed	Tissue enriched	33	skeletal muscle: 1514.0	esophagus: 45.3	Group enriched	9	BEWO: 18.6;HDLM-2: 35.6;RT4: 53.5
CATSPER2		ENSG00000166762	Cation channel sperm associated 2	15	43628503-43668118	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level							Mixed	Tissue enhanced		testis: 30.8	parathyroid gland: 6.5	Mixed		
CAV1	CAV	ENSG00000105974	Caveolin 1	7	116524785-116561184	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB003791, HPA049326	Enhanced		Supported	Golgi apparatus	Lung cancer:7.17e-5 (unfavourable), Renal cancer:1.29e-4 (unfavourable)	Expressed in all	Tissue enhanced		lung: 859.9	adipose tissue: 640.4	Cell line enhanced		LHCN-M2: 1943.1
CAV3	LGMD1C, LQT9, VIP-21, VIP21	ENSG00000182533	Caveolin 3	3	8733800-8841808	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB017518, CAB018557, HPA054488	Enhanced		Supported	Vesicles<br>Plasma membrane		Tissue enhanced	Group enriched	6	heart muscle: 14.0;skeletal muscle: 63.3	esophagus: 6.0	Group enriched	15	LHCN-M2: 19.0;RH-30: 91.1
CBL	c-Cbl, CBL2, RNF55	ENSG00000110395	Cbl proto-oncogene	11	119206276-119313926	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004350, HPA027956	Enhanced		Supported	Cytosol		Expressed in all	Mixed			testis: 33.9	Expressed in all		
CBS	HIP4	ENSG00000160200	Cystathionine-beta-synthase	21	43053191-43076943	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA001223	Supported		Approved	Nucleoli<br>Vesicles		Mixed	Tissue enhanced		liver: 56.6;ovary: 31.1	cerebral cortex: 19.8	Cell line enhanced		HAP1: 171.2;HHSteC: 181.6
CD151	PETA-3, RAPH, SFA-1, TSPAN24	ENSG00000177697	CD151 molecule (Raph blood group)	11	832843-839831	Blood group antigen proteins, CD markers, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002428, HPA011906	Supported				Liver cancer:5.58e-4 (unfavourable), Thyroid cancer:6.92e-4 (favourable), Lung cancer:9.46e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 361.3	Mixed		
CD36	FAT, GP3B, GP4, GPIV, SCARB3	ENSG00000135218	CD36 molecule	7	80369575-80679277	Cancer-related genes, CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA002018, CAB025866, HPA071026	Enhanced		Enhanced	Golgi apparatus	Stomach cancer:4.47e-4 (unfavourable)	Expressed in all	Expressed in all			adipose tissue: 1617.9	Cell line enhanced		ASC diff: 218.9;HEL: 144.7
CD81	TAPA-1, TAPA1, TSPAN28	ENSG00000110651	CD81 molecule	11	2376177-2397419	CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002507, HPA007234	Supported		Supported	Plasma membrane	Glioma:5.12e-5 (unfavourable), Pancreatic cancer:3.86e-4 (favourable), Colorectal cancer:7.56e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 2273.0	Cell line enhanced		ASC diff: 2031.3
CDC14A	cdc14, Cdc14A1, Cdc14A2, DFNB105	ENSG00000079335	Cell division cycle 14A	1	100345025-100520277	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA023783	Approved		Supported	Nucleoplasm<br>Nuclear bodies<br>Cytosol		Expressed in all	Tissue enhanced		testis: 56.3	fallopian tube: 19.8	Cell line enhanced		K-562: 25.8
CDK12	CRK7, CRKR, CRKRS, KIAA0904	ENSG00000167258	Cyclin dependent kinase 12	17	39461511-39564907	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA008038	Supported		Supported	Nucleus		Expressed in all	Expressed in all			testis: 33.8	Expressed in all		
CDK5	PSSALRE	ENSG00000164885	Cyclin dependent kinase 5	7	151053812-151058530	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB008909, HPA064535	Enhanced		Supported	Nucleus<br>Plasma membrane<br>Cell Junctions		Expressed in all	Expressed in all			cerebral cortex: 49.9	Expressed in all		
CDK9	C-2k, CDC2L4, PITALRE, TAK	ENSG00000136807	Cyclin dependent kinase 9	9	127785679-127790787	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB004216, HPA006738	Supported		Approved	Nucleoplasm<br>Cytoplasmic bodies	Renal cancer:8.92e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 60.5	Expressed in all		
CDKAL1	FLJ20342	ENSG00000145996	CDK5 regulatory subunit associated protein 1 like 1	6	20534457-21232404	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA057474			Uncertain	Vesicles	Endometrial cancer:1.03e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 16.0	Cell line enriched	6	SCLC-21H: 222.3
CDKL5	CFAP247, EIEE2, STK9	ENSG00000008086	Cyclin dependent kinase like 5	X	18425583-18653629	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA002847, CAB011577	Supported		Enhanced	Nucleoplasm	Renal cancer:5.54e-4 (favourable)	Mixed	Tissue enhanced		cerebral cortex: 31.0	testis: 14.4	Mixed		
CDKN3	CDI1, KAP	ENSG00000100526	Cyclin dependent kinase inhibitor 3	14	54396849-54420218	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB005285, HPA039311, HPA058874			Enhanced	Cytosol	Renal cancer:0.00e+0 (unfavourable), Lung cancer:4.52e-4 (unfavourable), Pancreatic cancer:7.46e-4 (unfavourable)	Expressed in all	Tissue enriched	11	testis: 342.6	lymph node: 31.7	Expressed in all		
CECR1	ADGF, IDGFL	ENSG00000093072	Cat eye syndrome chromosome region, candidate 1	22	17178790-17221989	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007888	Approved				Pancreatic cancer:8.91e-4 (favourable), Ovarian cancer:9.26e-4 (favourable)	Expressed in all	Expressed in all			spleen: 161.4	Cell line enhanced		CAPAN-2: 22.2;Karpas-707: 30.5;MOLT-4: 33.3;U-937: 32.1
CELSR1	ADGRC1, CDHF9, FMI2, HFMI2, ME2	ENSG00000075275	Cadherin EGF LAG seven-pass G-type receptor 1	22	46360834-46537170	Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA052976, HPA060521			Supported	Plasma membrane		Expressed in all	Mixed			fallopian tube: 15.5	Cell line enhanced		A549: 38.6;T-47d: 28.3
CERS3	LASS3, MGC27091	ENSG00000154227	Ceramide synthase 3	15	100400395-100544995	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA006092, HPA024356	Approved		Approved	Nucleoplasm		Tissue enhanced	Group enriched	9	esophagus: 48.1;skin: 60.5;testis: 32.3;tonsil: 14.3	breast: 4.3	Cell line enriched	6	hTCEpi: 47.1
CETP	BPIFF	ENSG00000087237	Cholesteryl ester transfer protein	16	56961850-56983845	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level							Mixed	Group enriched	6	adipose tissue: 36.9;liver: 21.7;lymph node: 46.3;placenta: 50.4;spleen: 77.7	thyroid gland: 8.4	Cell line enhanced		HEL: 2.4;HUVEC TERT2: 3.6;TIME: 2.1
CFB	BF, BFD, H2-Bf	ENSG00000243649	Complement factor B	6	31945650-31952084	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000951, HPA001817, HPA001832, CAB016381	Supported		Approved	Endoplasmic reticulum<br>Vesicles<br>Cell Junctions	Renal cancer:1.53e-5 (unfavourable), Breast cancer:2.76e-5 (favourable)	Expressed in all	Tissue enriched	21	liver: 285.9	stomach: 13.8	Cell line enhanced		CAPAN-2: 6.6;fHDF/TERT166: 9.6;HSkMC: 14.1
CFD	ADN, DF, PFD	ENSG00000197766	Complement factor D	19	859643-863630	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA052799			Uncertain	Plasma membrane	Pancreatic cancer:1.77e-4 (favourable), Renal cancer:7.09e-4 (unfavourable)	Expressed in all	Tissue enriched	7	adipose tissue: 378.5	breast: 52.5	Group enriched	6	ASC diff: 82.6;THP-1: 121.6
CFI	C3b-INA, FI, IF, KAF	ENSG00000205403	Complement factor I	4	109740694-109802179	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA001143, CAB016777, HPA024061	Supported				Urothelial cancer:6.06e-4 (unfavourable)	Expressed in all	Tissue enhanced		liver: 524.7	kidney: 221.8	Cell line enhanced		CAPAN-2: 112.1;Hep G2: 117.9;HSkMC: 48.7;RPTEC TERT1: 139.4
CHAT		ENSG00000070748	Choline O-acetyltransferase	10	49609095-49665104	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB002313, HPA048547	Supported					Not detected	Tissue enriched	8	placenta: 7.2	duodenum: 0.8	Cell line enriched	9	NB-4: 7.2
CHD2	DKFZp547I1315, DKFZp686E01200, DKFZp781D1727, FLJ38614	ENSG00000173575	Chromodomain helicase DNA binding protein 2	15	92900189-93028005	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA060744, HPA060960	Enhanced		Enhanced	Nucleus		Expressed in all	Expressed in all			bone marrow: 48.3	Mixed		
CHD4	Mi-2b, Mi2-BETA	ENSG00000111642	Chromodomain helicase DNA binding protein 4	12	6570083-6607476	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA012008	Supported		Enhanced	Nucleus	Liver cancer:6.03e-6 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 119.0	Expressed in all		
CHD5		ENSG00000116254	Chromodomain helicase DNA binding protein 5	1	6101793-6180123	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA015809, HPA055477	Supported		Supported	Nucleoplasm<br>Nuclear speckles<br>Cytosol		Mixed	Tissue enriched	7	cerebral cortex: 42.1	testis: 6.2	Cell line enhanced		SCLC-21H: 16.0;U-2 OS: 6.3
CHD6	CHD5, dJ620E11.1, FLJ22369, KIAA1335, RIGB	ENSG00000124177	Chromodomain helicase DNA binding protein 6	20	41402101-41618494	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA015543			Approved	Nucleus	Lung cancer:3.42e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 31.5	Expressed in all		
CHD7	CRG, FLJ20357, FLJ20361, KIAA1416	ENSG00000171316	Chromodomain helicase DNA binding protein 7	8	60678778-60868028	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA053075			Supported	Nucleoplasm<br>Nucleoli	Endometrial cancer:5.34e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 14.6	Cell line enhanced		AF22: 50.9;SCLC-21H: 55.1
CHD8	DUPLIN, HELSNF1, KIAA1564	ENSG00000100888	Chromodomain helicase DNA binding protein 8	14	21385194-21456126	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA052186			Supported	Nucleoplasm	Liver cancer:4.94e-4 (unfavourable), Ovarian cancer:8.35e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 47.1	Expressed in all		
CHEK2	bA444G7, CDS1, CHK2, HuCds1, PP1425, RAD53	ENSG00000183765	Checkpoint kinase 2	22	28687743-28742422	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA001878, CAB002030	Enhanced		Supported	Nucleoplasm<br>Golgi apparatus	Renal cancer:7.80e-9 (unfavourable)	Expressed in all	Mixed			testis: 13.4	Expressed in all		
CHRNB1	CHRNB	ENSG00000170175	Cholinergic receptor nicotinic beta 1 subunit	17	7445061-7457707	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA005822, CAB011200	Approved					Expressed in all	Expressed in all			skeletal muscle: 21.9	Cell line enhanced		LHCN-M2: 28.7;RH-30: 68.7
CHRND	ACHRD	ENSG00000135902	Cholinergic receptor nicotinic delta subunit	2	232525993-232536667	Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA056404, HPA065404			Supported	Nucleoplasm<br>Plasma membrane<br>Cytosol		Tissue enriched	Tissue enriched	12	skeletal muscle: 9.6	prostate: 0.8	Cell line enriched	76	RH-30: 79.9
CHRNE	ACHRE	ENSG00000108556	Cholinergic receptor nicotinic epsilon subunit	17	4897774-4903074	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Mixed	Tissue enriched	26	heart muscle: 33.9	epididymis: 1.3	Group enriched	15	HEL: 3.9;HMC-1: 9.2
CHRNG	ACHRG	ENSG00000196811	Cholinergic receptor nicotinic gamma subunit	2	232539727-232546403	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enhanced	Tissue enriched	17	skeletal muscle: 8.2	prostate: 0.4	Group enriched	21	HSkMC: 2.3;RH-30: 8.7
CHST11	C4ST, C4St-1, C4ST1, HSA269537	ENSG00000171310	Carbohydrate sulfotransferase 11	12	104455295-104762014	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA052828	Approved		Approved	Golgi apparatus	Renal cancer:7.59e-11 (unfavourable), Urothelial cancer:8.42e-4 (unfavourable)	Expressed in all	Mixed			appendix: 27.6	Mixed		
CHST14	D4ST-1, D4ST1, HD4ST	ENSG00000169105	Carbohydrate sulfotransferase 14	15	40470998-40474571	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA057697, HPA071601	Approved		Approved	Vesicles		Expressed in all	Expressed in all			placenta: 38.8	Expressed in all		
CHST3	C6ST, C6ST1	ENSG00000122863	Carbohydrate sulfotransferase 3	10	71964365-72013564	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA047523, HPA055704	Enhanced		Approved	Golgi apparatus<br>Cytosol		Expressed in all	Mixed			testis: 30.7	Mixed		
CHSY1	CSS1, KIAA0990	ENSG00000131873	Chondroitin sulfate synthase 1	15	101175723-101251932	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA048902	Uncertain				Renal cancer:6.33e-5 (unfavourable)	Expressed in all	Expressed in all			placenta: 64.8	Expressed in all		
CHUK	IkBKA, IKK-alpha, IKK1, IKKA, NFKBIKA, TCF16	ENSG00000213341	Conserved helix-loop-helix ubiquitous kinase	10	100188298-100229619	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA001402, CAB004240, CAB018564	Approved		Supported	Nucleoplasm<br>Vesicles<br>Cytosol	Renal cancer:1.27e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 23.1	Expressed in all		
CIITA	C2TA, MHC2TA, NLRA	ENSG00000179583	Class II major histocompatibility complex transactivator	16	10866222-10932281	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	CAB016084	Enhanced		Approved	Nucleoplasm		Expressed in all	Mixed			lymph node,spleen: 59.2	Cell line enhanced		HDLM-2: 44.9;REH: 81.4
CIT	CITK, CRIK, KIAA0949, STK21	ENSG00000122966	Citron rho-interacting serine/threonine kinase	12	119685790-119877291	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA019082, HPA048812, HPA075506	Uncertain		Approved	Cytosol		Mixed	Mixed			cerebral cortex: 10.4	Mixed		
CLCN1	ClC-1, CLC1	ENSG00000188037	Chloride voltage-gated channel 1	7	143316126-143352083	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Mixed	Tissue enriched	17	skeletal muscle: 22.9	testis: 1.3	Cell line enhanced		HSkMC: 1.1;PC-3: 1.0
CLCN4	ClC-4, CLC4	ENSG00000073464	Chloride voltage-gated channel 4	X	10156945-10237660	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA031313, HPA063637	Enhanced		Approved	Vesicles	Endometrial cancer:2.13e-5 (unfavourable), Pancreatic cancer:9.55e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 49.1;epididymis: 28.1	skeletal muscle: 14.6	Cell line enhanced		HEL: 21.9;SCLC-21H: 28.6
CLCN7	CLC-7, CLC7, OPTA2, PPP1R63	ENSG00000103249	Chloride voltage-gated channel 7	16	1444934-1475580	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA043019, HPA043586	Supported		Supported	Nucleoplasm	Testis cancer:3.21e-4 (unfavourable), Head and neck cancer:5.23e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 41.2	Expressed in all		
CLDN1	ILVASC, SEMP1	ENSG00000163347	Claudin 1	3	190305701-190322475	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002602, HPA048319	Enhanced				Endometrial cancer:2.00e-4 (unfavourable), Pancreatic cancer:5.23e-4 (unfavourable)	Expressed in all	Tissue enhanced		skin: 306.2;smooth muscle: 186.0	liver: 158.4	Cell line enhanced		EFO-21: 613.4;HaCaT: 206.6;hTCEpi: 206.7;RPTEC TERT1: 310.7;RT4: 210.1
CLDN16	HOMG3, PCLN1	ENSG00000113946	Claudin 16	3	190322541-190412143	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA056020	Enhanced				Endometrial cancer:1.99e-5 (unfavourable)	Group enriched	Tissue enriched	6	kidney: 51.7	thyroid gland: 8.7	Group enriched	135	EFO-21: 435.6;RPTEC TERT1: 123.6
CLDN19		ENSG00000164007	Claudin 19	1	42733093-42740254	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level							Tissue enhanced	Group enriched	12	kidney: 19.7;placenta: 14.5	breast: 1.4	Cell line enhanced		CACO-2: 2.4;Hep G2: 4.3
CLDN3	C7orf1, CPE-R2, CPETR2, HRVP1, RVP1	ENSG00000165215	Claudin 3	7	73768997-73770270	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002702, HPA014361	Supported		Supported	Cell Junctions	Renal cancer:3.39e-5 (favourable)	Mixed	Tissue enhanced		colon: 87.7;small intestine: 119.5	duodenum: 55.0	Cell line enhanced		MCF7: 175.3;PC-3: 44.1;SCLC-21H: 68.2;T-47d: 98.9
CLDN4	CPE-R, CPETR, CPETR1, hCPE-R, WBSCR8	ENSG00000189143	Claudin 4	7	73799542-73832693	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002610	Enhanced		Supported	Plasma membrane	Renal cancer:3.46e-10 (favourable), Ovarian cancer:3.28e-4 (unfavourable)	Mixed	Mixed			colon: 208.6	Cell line enhanced		A-431: 285.9;BEWO: 354.2;CAPAN-2: 613.4;MCF7: 279.4;PC-3: 419.8;SK-BR-3: 439.0
CLIC2	XAP121	ENSG00000155962	Chloride intracellular channel 2	X	155276211-155334657	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA047381, HPA060101	Uncertain		Approved	Plasma membrane	Renal cancer:1.74e-5 (unfavourable)	Expressed in all	Mixed			spleen: 62.8	Cell line enhanced		HDLM-2: 85.0;K-562: 44.8;Karpas-707: 31.6;RPMI-8226: 54.1
CLIC5	DFNB102	ENSG00000112782	Chloride intracellular channel 5	6	45898451-46080395	Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA074371			Supported	Nuclear speckles<br>Plasma membrane		Tissue enhanced	Tissue enhanced		lung: 116.1;skeletal muscle: 119.2	heart muscle: 76.0	Group enriched	7	CAPAN-2: 13.3;EFO-21: 10.0;HDLM-2: 5.7;REH: 13.6;U-266/70: 10.5
CLP1	hClp1, HEAB	ENSG00000172409	Cleavage and polyadenylation factor I subunit 1	11	57648992-57661868	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA057770	Supported		Supported	Nucleoplasm		Expressed in all	Expressed in all			bone marrow: 17.0	Expressed in all		
CLPB	ANKCLB, FLJ13152, HSP78, SKD3	ENSG00000162129	ClpB homolog, mitochondrial AAA ATPase chaperonin	11	72292425-72434680	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA039005, HPA039006, HPA064571	Enhanced				Renal cancer:8.36e-8 (favourable)	Expressed in all	Tissue enriched	10	testis: 176.6	parathyroid gland: 18.5	Expressed in all		
CLPP		ENSG00000125656	Caseinolytic mitochondrial matrix peptidase proteolytic subunit	19	6361452-6368908	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA010649	Supported		Enhanced	Mitochondria	Pancreatic cancer:6.50e-4 (favourable)	Expressed in all	Expressed in all			appendix: 48.3	Expressed in all		
CLRN1	RP61, USH3, USH3A	ENSG00000163646	Clarin 1	3	150926163-150972999	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA054636	Uncertain					Not detected	Group enriched	5	adrenal gland: 6.7;duodenum: 1.5	testis: 0.7	Cell line enriched	31	NTERA-2: 3.5
CNGA1	CNCG, CNCG1, CNG1, RCNC1, RCNCa, RP49	ENSG00000198515	Cyclic nucleotide gated channel alpha 1	4	47935977-48016672	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level							Mixed	Mixed			liver: 14.2	Cell line enhanced		CAPAN-2: 9.1;RT4: 6.7;U-2 OS: 3.3
CNGA3	ACHM2, CCNC1, CCNCa, CNCG3, CNG3	ENSG00000144191	Cyclic nucleotide gated channel alpha 3	2	98346155-98398601	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA049378, CAB079025	Approved	Approved				Tissue enriched	Mixed			esophagus: 1.9	Cell line enriched	7	U-87 MG: 6.9
CNGB1	CNCG2, CNCG3L, CNGB1B, GAR1, GARP, RCNC2, RCNCb, RP45	ENSG00000070729	Cyclic nucleotide gated channel beta 1	16	57882340-57971116	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA039159, HPA060355			Approved	Vesicles<br>Cytosol		Tissue enriched	Tissue enhanced		adrenal gland: 1.6	appendix,cerebral cortex: 1.5	Cell line enhanced		SCLC-21H: 2.6;SiHa: 3.1
CNGB3	ACHM1, ACHM3, RMCH	ENSG00000170289	Cyclic nucleotide gated channel beta 3	8	86553977-86743675	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	HPA057244	Enhanced					Not detected	Tissue enhanced		bone marrow: 2.7;testis: 3.9	fallopian tube: 2.1	Cell line enriched	19	SCLC-21H: 23.7
CNNM4	ACDP4, KIAA1592	ENSG00000158158	Cyclin and CBS domain divalent metal cation transport mediator 4	2	96760902-96811891	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	HPA017732	Enhanced		Uncertain	Plasma membrane<br>Actin filaments	Ovarian cancer:8.75e-4 (unfavourable), Endometrial cancer:9.14e-4 (unfavourable)	Expressed in all	Expressed in all			rectum: 36.9	Expressed in all		
CNTN2	AXT, TAG-1, TAX, TAX1	ENSG00000184144	Contactin 2	1	205042937-205078284	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters	Evidence at protein level	HPA001397, HPA012497	Approved					Tissue enriched	Tissue enriched	7	cerebral cortex: 81.7	testis: 11.2	Group enriched	7	NTERA-2: 3.8;SCLC-21H: 11.1
COASY	CoASY, DPCK, NBP, PPAT	ENSG00000068120	Coenzyme A synthase	17	42561467-42566277	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA022875, HPA022912, HPA023273	Approved		Approved	Nucleoplasm<br>Cytosol	Liver cancer:7.54e-5 (unfavourable), Endometrial cancer:2.15e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 60.1	Expressed in all		
